index,Time,CHARGE
G0222,13,0.0
G0222,14,0.0
G0222,15,0.0
G0222,16,0.0
G0222,17,0.0
G0222,18,0.0
G0222,19,0.0
G0222,20,0.0
G0222,21,0.0
G0222,22,0.0
G0222,23,0.0
G0222,24,0.0
G0224,1,0.0
G0224,2,0.0
G0224,3,0.0
G0224,4,0.0
G0224,5,0.0
G0224,6,0.0
G0224,7,0.0
G0224,8,0.0
G0224,9,0.0
G0224,10,0.0
G0224,11,0.0
G0224,12,0.0
G0224,13,0.0
G0224,14,0.0
G0224,15,0.0
G0224,16,0.0
G0224,17,0.0
G0224,18,0.0
G0224,19,0.0
G0224,20,0.0
G0224,21,0.0
G0224,22,0.0
G0224,23,0.0
G0224,24,0.0
G0226,1,0.0
G0226,2,0.0
G0226,3,0.0
G0226,4,0.0
G0226,5,0.0
G0226,6,0.0
G0226,7,0.0
G0226,8,0.0
G0226,9,0.0
G0226,10,0.0
G0226,11,0.0
G0226,12,0.0
G0226,13,0.0
G0226,14,0.0
G0226,15,0.0
G0226,16,0.0
G0226,17,0.0
G0226,18,0.0
G0226,19,0.0
G0226,20,0.0
G0226,21,0.0
G0226,22,0.0
G0226,23,0.0
G0226,24,0.0
G0232,1,0.0
G0232,2,0.0
G0232,3,0.0
G0232,4,0.0
G0232,5,0.0
G0232,6,0.0
G0232,7,0.0
G0232,8,0.0
G0232,9,0.0
G0232,10,0.0
G0232,11,0.0
G0232,12,0.0
G0232,13,0.0
G0232,14,0.0
G0232,15,0.0
G0232,16,0.0
G0232,17,0.0
G0232,18,0.0
G0232,19,0.0
G0232,20,0.0
G0232,21,0.0
G0232,22,0.0
G0232,23,0.0
G0232,24,0.0
G0233,1,0.0
G0233,2,0.0
G0233,3,0.0
G0233,4,0.0
G0233,5,0.0
G0233,6,0.0
G0233,7,0.0
G0233,8,0.0
G0233,9,0.0
G0233,10,0.0
G0233,11,0.0
G0233,12,0.0
G0233,13,0.0
G0233,14,0.0
G0233,15,0.0
G0233,16,0.0
G0233,17,0.0
G0233,18,0.0
G0233,19,0.0
G0233,20,0.0
G0233,21,0.0
G0233,22,0.0
G0233,23,0.0
G0233,24,0.0
G0280,1,0.0
G0280,2,0.0
G0280,3,0.0
G0280,4,0.0
G0280,5,0.0
G0280,6,0.0
G0280,7,0.0
G0280,8,0.0
G0280,9,0.0
G0280,10,0.0
G0280,11,0.0
G0280,12,0.0
G0280,13,0.0
G0280,14,0.0
G0280,15,0.0
G0280,16,0.0
G0280,17,0.0
G0280,18,0.0
G0280,19,0.0
G0280,20,0.0
G0280,21,0.0
G0280,22,0.0
G0280,23,0.0
G0280,24,0.0
G0289,1,0.0
G0289,2,0.0
G0289,3,0.0
G0289,4,0.0
G0289,5,0.0
G0289,6,0.0
G0289,7,0.0
G0289,8,0.0
G0289,9,0.0
G0289,10,0.0
G0289,11,0.0
G0289,12,0.0
G0289,13,0.0
G0289,14,0.0
G0289,15,0.0
G0289,16,0.0
G0289,17,0.0
G0289,18,0.0
G0289,19,0.0
G0289,20,0.0
G0289,21,0.0
G0289,22,0.0
G0289,23,0.0
G0289,24,0.0
G0293,1,0.0
G0293,2,0.0
G0293,3,0.0
G0293,4,0.0
G0293,5,0.0
G0293,6,0.0
G0293,7,0.0
G0293,8,0.0
G0293,9,0.0
G0293,10,0.0
G0293,11,0.0
G0293,12,0.0
G0293,13,0.0
G0293,14,0.0
G0293,15,0.0
G0293,16,0.0
G0293,17,0.0
G0293,18,0.0
G0293,19,0.0
G0293,20,0.0
G0293,21,0.0
G0293,22,0.0
G0293,23,0.0
G0293,24,0.0
G0342,1,0.0
G0342,2,0.0
G0342,3,0.0
G0342,4,0.0
G0342,5,0.0
G0342,6,0.0
G0342,7,0.0
G0342,8,0.0
G0342,9,0.0
G0342,10,0.0
G0342,11,0.0
G0342,12,0.0
G0342,13,0.0
G0342,14,0.0
G0342,15,0.0
G0342,16,0.0
G0342,17,0.0
G0342,18,0.0
G0342,19,0.0
G0342,20,0.0
G0342,21,0.0
G0342,22,0.0
G0342,23,0.0
G0342,24,0.0
G0369,1,0.0
G0369,2,0.0
G0369,3,0.0
G0369,4,0.0
G0369,5,0.0
G0369,6,0.0
G0369,7,0.0
G0369,8,0.0
G0369,9,0.0
G0369,10,0.0
G0369,11,0.0
G0369,12,0.0
G0369,13,0.0
G0369,14,0.0
G0369,15,0.0
G0369,16,0.0
G0369,17,0.0
G0369,18,0.0
G0369,19,0.0
G0369,20,0.0
G0369,21,0.0
G0369,22,0.0
G0369,23,0.0
G0369,24,0.0
G0398,1,0.0
G0398,2,0.0
G0398,3,0.0
G0398,4,0.0
G0398,5,0.0
G0398,6,0.0
G0398,7,0.0
G0398,8,0.0
G0398,9,0.0
G0398,10,0.0
G0398,11,0.0
G0398,12,0.0
G0398,13,0.0
G0398,14,0.0
G0398,15,0.0
G0398,16,0.0
G0398,17,0.0
G0398,18,0.0
G0398,19,0.0
G0398,20,0.0
G0398,21,0.0
G0398,22,0.0
G0398,23,0.0
G0398,24,0.0
G0437,1,0.0
G0437,2,0.0
G0437,3,0.0
G0437,4,0.0
G0437,5,0.0
G0437,6,0.0
G0437,7,0.0
G0437,8,0.0
G0437,9,0.0
G0437,10,0.0
G0437,11,0.0
G0437,12,0.0
G0437,13,0.0
G0437,14,0.0
G0437,15,0.0
G0437,16,0.0
G0437,17,0.0
G0437,18,0.0
G0437,19,0.0
G0437,20,0.0
G0437,21,0.0
G0437,22,0.0
G0437,23,0.0
G0437,24,0.0
G0444,1,0.0
G0444,2,0.0
G0444,3,0.0
G0444,4,0.0
G0444,5,0.0
G0444,6,0.0
G0444,7,0.0
G0444,8,0.0
G0444,9,0.0
G0444,10,0.0
G0444,11,0.0
G0444,12,0.0
G0444,13,0.0
G0444,14,0.0
G0444,15,0.0
G0444,16,0.0
G0444,17,0.0
G0444,18,0.0
G0444,19,0.0
G0444,20,0.0
G0444,21,0.0
G0444,22,0.0
G0444,23,0.0
G0444,24,0.0
G0458,1,0.0
G0458,2,0.0
G0458,3,0.0
G0458,4,0.0
G0458,5,0.0
G0458,6,0.0
G0458,7,0.0
G0458,8,0.0
G0458,9,0.0
G0458,10,0.0
G0458,11,0.0
G0458,12,0.0
G0458,13,0.0
G0458,14,0.0
G0458,15,0.0
G0458,16,0.0
G0458,17,0.0
G0458,18,0.0
G0458,19,0.0
G0458,20,0.0
G0458,21,0.0
G0458,22,0.0
G0458,23,0.0
G0458,24,0.0
G0594,1,0.0
G0594,2,0.0
G0594,3,0.0
G0594,4,0.0
G0594,5,0.0
G0594,6,0.0
G0594,7,0.0
G0594,8,0.0
G0594,9,0.0
G0594,10,0.0
G0594,11,0.0
G0594,12,0.0
G0594,13,0.0
G0594,14,0.0
G0594,15,0.0
G0594,16,0.0
G0594,17,0.0
G0594,18,0.0
G0594,19,0.0
G0594,20,0.0
G0594,21,0.0
G0594,22,0.0
G0594,23,0.0
G0594,24,0.0
G0602,1,0.0
G0602,2,0.0
G0602,3,0.0
G0602,4,0.0
G0602,5,0.0
G0602,6,0.0
G0602,7,0.0
G0602,8,0.0
G0602,9,0.0
G0602,10,0.0
G0602,11,0.0
